星美国际影城(世界城店),朝阳区金汇路8号世界城E座B1楼（世贸天阶商业街北侧）
中影国际影城(丰台永旺店),丰台区丰葆路永旺梦乐城4层
首都电影院(悦荟万科广场店),昌平区南环路10号院1号楼悦荟万科广场8层
CGV星聚汇影城(清河店),海淀区清河中街68号华润五彩城购物中心东区7层
CGV星聚汇影城(顺义店),顺义区新顺南大街8号华联购物中心4层CGV星聚汇国际影城
鲁信影城(立水桥店),朝阳区立清路明天第一城7号院，蓝黛时空汇内
CGV星聚汇影城(亦庄店),大兴区经济技术开发区荣京东街大族广场9号楼三层
万达影城(槐房店),丰台区槐房南路6号院万达广场4层
CGV星星影城(奥体店),朝阳区湖景东路11号新奥购物中心B1-B2楼
CGV星星影城(颐堤港店),朝阳区酒仙桥路18号颐堤港4层
DMG国际影城(悦秀店),丰台区开阳路8号悦秀城6层
密云大剧院,密云县鼓楼西大街1号
DMG影城(良乡店),房山区拱辰南大街瑞城广场7F
完美世界影城(17.5管庄店),朝阳区朝阳路京通苑30号楼L307PLus365购物中心三层
阳光影城(安立路店),朝阳区安立路68号飘亮广场B1层
新华国际影城(大兴店),大兴区黄村东大街火神庙国际商业中心E座5层
K酷国际影城,朝阳区北苑路42号卜峰莲花超市4楼（K酷时尚广场）
SFC上影影城(大兴龙湖店),大兴区永兴路7号院1号楼3F-Z2
银兴乐天影城(通州店),通州区翠景北里21号京通罗斯福广场5F
SFC上影影城(房山绿地店),房山区黄辛庄路口绿地缤纷城3层
UME国际影城(安贞店),东城区北三环安贞桥环球贸易中心E座
良乡影剧院,房山区良乡拱辰大街31号
UME国际影城(华星店),海淀区双榆树科学院南路44号（双安商场对面）
米高梅国际影城(工体店),朝阳区工体北路21号永利国际购物中心B1
UME国际影城(双井店),朝阳区东三环中路65号富力广场6楼（双井桥北）
世茂国际影城(羊坊店路店),海淀区羊坊店路18号光耀东方4层
艾米·1895电影街,朝阳区工体北路13号世茂工三3楼，艾米·1895电影街（三里屯商圈）
